Sr.No.,Colleges,CourseName,ST,City
124,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Electrical engineering,40.76,Ichalkaranji
125,"Sharad Institute of Technology College of engineering, Yadrav",Electronics & Computer Engineering,40.254,Yadrav
126,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Mechanical Engineering,38.752,"Wanadongri, Nagpur"
127,"Government College Of Engineering, Yavatmal",Civil Engineering,38.1736,Yavatmal
128,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Technology,37.381,"Wanadongri, Nagpur"
129,"Government College of Engineering, Aurangabad",Civil Engineering,36.7166,Aurangabad
130,"Government College of Engineering, Aurangabad",Electrical Engineering,35.3993,Aurangabad
131,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electronics Engineering,34.271,"Wanadongri, Nagpur"
132,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",AI & DS,34.239,"Wanadongri, Nagpur"
133,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electronics & Telecommunication Engineering,33.986,"Wanadongri, Nagpur"
134,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Robotics & Automation,33.791,Pune
135,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Computer Engineering,32.3435,Pune
136,"KIT college of enginieering(Autonomus), Kolhapur",Civil Engineering,30.42,Kolhapur
137,"Institute Of Chemical Technology , Matuga , Mumbai",Surface Coating Technology,30.331,"Matuga , Mumbai"
138,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Industrial IoT,30.331,"Wanadongri, Nagpur"
139,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Electrical Engg,30.301,Pune
140,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Mechanical Engineerng,24.876,Nanded
141,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Civil Engineering,24.348,"Wanadongri, Nagpur"
142,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Electrical Engineering,23.641,Pune
143,"Government College Of Engineering, Amravati ",Mechanical Engineering ,19.4669,Amravati
144,"Rajarambapu Institute of Technology , Islampur",Mechanical Engineering,17.225,Islampur
145,"Government College Of Engineering, Amravati ",Instrumentation Engineering,16.5737,Amravati
