Sr.No.,Colleges,CourseName,EWS,City
224,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",A.I & D.S,8.752,Pune
225,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Mechanical Engineering,6.749,"Wanadongri, Nagpur"
226,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Computer Science and engineering,6.1827,Jaysingpur
227,"Sinhagad College of Engineering,Vadgaon,Pune",Mechanical Engg,2.9184,Pune
228,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Chemical Engineering,2.186,Pune
229,"Sharad Institute of Technology College of engineering, Yadrav",Civil Engineering,0.7236,Yadrav
230,"LakshmiNarayan Institute of Technology ,Nagpur",Paper & Pulp Technology,0,Nagpur
231,"LakshmiNarayan Institute of Technology ,Nagpur",Petrochemical Engineering,0,Nagpur
232,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Industrial IoT,0,"Wanadongri, Nagpur"
233,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Mechanical Engg,0,Pune
