Sr.No.,Colleges,CourseName,OBC,City
183,"Sharad Institute of Technology College of engineering, Yadrav",Mechanical Engineering,15.171,Yadrav
184,"KIT college of enginieering(Autonomus), Kolhapur",Civil Engineering,14.99,Kolhapur
185,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Electrical Engineering,12.704,"Nerhe, Pune"
186,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Electronics and Telecommunication Engineering,12.64,Jaysingpur
187,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Mechanical Engineering,12.202,Navi Mumbai
188,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Electrical engineering,8.33,Ichalkaranji
189,"Rajarambapu Institute of Technology , Islampur",Mechatronics Engineering,6.642,Islampur
190,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,5.56,Kolhapur
191,"Annasaheb Dange College of Engineering & Technology , Ashta",Food Technology,3.913,Ashta
192,"Sharad Institute of Technology College of engineering, Yadrav",Electronics & Computer Engineering,2.494,Yadrav
193,"D.Y.Patil College of Engineering and Technology, Kolhapur",Mechanical Engineering,2.493,Kolhapur
194,"Sharad Institute of Technology College of engineering, Yadrav",Mechatronics Engineering,2.024,Yadrav
195,"Department of Technology , Kolhapur",Food Technology,0.419,Kolhapur
196,"D.Y.Patil College of Engineering and Technology, Kolhapur",Civil Engineering,0,Kolhapur
197,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Civil Engineering,0,Ichalkaranji
198,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Textile plant engineering,0,Ichalkaranji
199,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Mechanical Engineering,0,Ichalkaranji
200,"Sharad Institute of Technology College of engineering, Yadrav",Civil Engineering,0,Yadrav
201,"Sharad Institute of Technology College of engineering, Yadrav",Automation & Robotics,0,Yadrav
202,"Annasaheb Dange College of Engineering & Technology , Ashta",Mechanical Engineering,0,Ashta
203,"Department of Technology , Kolhapur",Civil Engineering,0,Kolhapur
204,"Department of Technology , Kolhapur",Mechanical Engineering,0,Kolhapur
205,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Civil Engineering,0,Jaysingpur
206,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Mechanical Engineering,0,Jaysingpur
207,"Rajarambapu Institute of Technology , Islampur",Automative Technology,0,Islampur
208,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Civil Engineering,0,Kolhapur
209,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Mechanical Engineering,0,Kolhapur
210,"LakshmiNarayan Institute of Technology ,Nagpur",Paper & Pulp Technology,0,Nagpur
211,"LakshmiNarayan Institute of Technology ,Nagpur",Petrochemical Engineering,0,Nagpur
212,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Civil Engineering,0,Nanded
213,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Mechanical Engineering,0,Nanded
214,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Chemical Engineering,0,Nanded
215,AISSMS College of Engineering,Instrumention Engg,0,Pune
216,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Mechanical Engineering,0,Pune
217,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Mechanical Engg,0,Pune
218,"Modern Education Society's College of Engineering, Pune",Mechanical Engineering,0,Pune
219,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Mechanical Engineering,0,Pune
220,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Printing Technology,0,Pune
221,"Sinhagad College of Engineering,Vadgaon,Pune",Production Engg,0,Pune
222,"Sinhagad College of Engineering,Vadgaon,Pune",Mechanical Engg,0,Pune
223,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Civil Engineering,0,"Nerhe, Pune"
224,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Chemical Engineering,0,"Nerhe, Pune"
