Sr.No.,Colleges,CourseName,OPEN,City
223,"D.Y.Patil College of Engineering and Technology, Kolhapur",Civil Engineering,12.385,Kolhapur
224,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,10.57,Kolhapur
225,"Department of Technology , Kolhapur",Chemical Engineering,10.275,Kolhapur
226,"Annasaheb Dange College of Engineering & Technology , Ashta",Electrical Engineering,8.935,Ashta
227,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Civil Engineering,6.749,Kolhapur
228,"Dr.J.J.Magdum Charitable Trust's Dr.J.J.Magdum College of engineering, Jaysingpur",Civil Engineering,5.69,Jaysingpur
229,"Sinhagad College of Engineering,Vadgaon,Pune",Mechanical Engg,5.453,Pune
230,"Annasaheb Dange College of Engineering & Technology , Ashta",Civil Engineering,5.443,Ashta
231,"Department of Technology , Kolhapur",Food Technology,3.64,Kolhapur
232,"Annasaheb Dange College of Engineering & Technology , Ashta",Food Technology,3.1153,Ashta
233,"Annasaheb Dange College of Engineering & Technology , Ashta",Mechanical Engineering,3.041,Ashta
234,"Sharad Institute of Technology College of engineering, Yadrav",Civil Engineering,2.49,Yadrav
235,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Mechanical Engineering,2.125,Kolhapur
236,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Mechanical Engineering,0.4265,Pune
